,training_examples,noise,sigma,acc
492,10,1.3333333333333333,0.1052641052631579,0.56
493,10,1.3333333333333333,0.1052641052631579,0.42
494,10,1.3333333333333333,0.1052641052631579,0.58
495,10,1.3333333333333333,0.1052641052631579,0.46
496,10,1.3333333333333333,0.1052641052631579,0.36
497,10,1.3333333333333333,0.1052641052631579,0.36
498,10,1.3333333333333333,0.1052641052631579,0.4
499,10,1.3333333333333333,0.1052641052631579,0.46
500,20,1.3333333333333333,0.1052641052631579,0.6
501,20,1.3333333333333333,0.1052641052631579,0.62
502,20,1.3333333333333333,0.1052641052631579,0.64
503,20,1.3333333333333333,0.1052641052631579,0.44
504,20,1.3333333333333333,0.1052641052631579,0.46
505,20,1.3333333333333333,0.1052641052631579,0.54
506,20,1.3333333333333333,0.1052641052631579,0.5
507,20,1.3333333333333333,0.1052641052631579,0.42
508,20,1.3333333333333333,0.1052641052631579,0.4
509,20,1.3333333333333333,0.1052641052631579,0.58
510,5,1.5555555555555554,0.1052641052631579,0.56
511,5,1.5555555555555554,0.1052641052631579,0.5
512,5,1.5555555555555554,0.1052641052631579,0.5
513,5,1.5555555555555554,0.1052641052631579,0.48
514,5,1.5555555555555554,0.1052641052631579,0.52
515,5,1.5555555555555554,0.1052641052631579,0.5
516,5,1.5555555555555554,0.1052641052631579,0.34
517,5,1.5555555555555554,0.1052641052631579,0.48
518,5,1.5555555555555554,0.1052641052631579,0.62
519,5,1.5555555555555554,0.1052641052631579,0.48
520,10,1.5555555555555554,0.1052641052631579,0.46
521,10,1.5555555555555554,0.1052641052631579,0.4
522,10,1.5555555555555554,0.1052641052631579,0.32
523,10,1.5555555555555554,0.1052641052631579,0.5
524,10,1.5555555555555554,0.1052641052631579,0.48
525,10,1.5555555555555554,0.1052641052631579,0.46
526,10,1.5555555555555554,0.1052641052631579,0.48
527,10,1.5555555555555554,0.1052641052631579,0.42
528,10,1.5555555555555554,0.1052641052631579,0.44
529,10,1.5555555555555554,0.1052641052631579,0.48
530,20,1.5555555555555554,0.1052641052631579,0.44
531,20,1.5555555555555554,0.1052641052631579,0.54
532,20,1.5555555555555554,0.1052641052631579,0.48
533,20,1.5555555555555554,0.1052641052631579,0.54
534,20,1.5555555555555554,0.1052641052631579,0.52
535,20,1.5555555555555554,0.1052641052631579,0.44
536,20,1.5555555555555554,0.1052641052631579,0.56
537,20,1.5555555555555554,0.1052641052631579,0.5
538,20,1.5555555555555554,0.1052641052631579,0.52
539,20,1.5555555555555554,0.1052641052631579,0.52
540,5,1.7777777777777777,0.1052641052631579,0.36
541,5,1.7777777777777777,0.1052641052631579,0.5
542,5,1.7777777777777777,0.1052641052631579,0.54
543,5,1.7777777777777777,0.1052641052631579,0.48
544,5,1.7777777777777777,0.1052641052631579,0.52
545,5,1.7777777777777777,0.1052641052631579,0.58
546,5,1.7777777777777777,0.1052641052631579,0.56
547,5,1.7777777777777777,0.1052641052631579,0.32
548,5,1.7777777777777777,0.1052641052631579,0.52
549,5,1.7777777777777777,0.1052641052631579,0.54
550,10,1.7777777777777777,0.1052641052631579,0.32
551,10,1.7777777777777777,0.1052641052631579,0.52
552,10,1.7777777777777777,0.1052641052631579,0.38
553,10,1.7777777777777777,0.1052641052631579,0.52
554,10,1.7777777777777777,0.1052641052631579,0.66
555,10,1.7777777777777777,0.1052641052631579,0.52
556,10,1.7777777777777777,0.1052641052631579,0.6
557,10,1.7777777777777777,0.1052641052631579,0.52
558,10,1.7777777777777777,0.1052641052631579,0.44
559,10,1.7777777777777777,0.1052641052631579,0.54
560,20,1.7777777777777777,0.1052641052631579,0.5
561,20,1.7777777777777777,0.1052641052631579,0.42
562,20,1.7777777777777777,0.1052641052631579,0.48
563,20,1.7777777777777777,0.1052641052631579,0.44
564,20,1.7777777777777777,0.1052641052631579,0.52
565,20,1.7777777777777777,0.1052641052631579,0.52
566,20,1.7777777777777777,0.1052641052631579,0.48
567,20,1.7777777777777777,0.1052641052631579,0.5
568,20,1.7777777777777777,0.1052641052631579,0.5
569,20,1.7777777777777777,0.1052641052631579,0.44
570,5,2.0,0.1052641052631579,0.44
571,5,2.0,0.1052641052631579,0.58
572,5,2.0,0.1052641052631579,0.36
573,5,2.0,0.1052641052631579,0.46
574,5,2.0,0.1052641052631579,0.42
575,5,2.0,0.1052641052631579,0.6
576,5,2.0,0.1052641052631579,0.5
577,5,2.0,0.1052641052631579,0.5
578,5,2.0,0.1052641052631579,0.5
579,5,2.0,0.1052641052631579,0.4
580,10,2.0,0.1052641052631579,0.58
581,10,2.0,0.1052641052631579,0.46
582,10,2.0,0.1052641052631579,0.54
583,10,2.0,0.1052641052631579,0.54
584,10,2.0,0.1052641052631579,0.48
585,10,2.0,0.1052641052631579,0.7
586,10,2.0,0.1052641052631579,0.42
587,10,2.0,0.1052641052631579,0.6
588,10,2.0,0.1052641052631579,0.64
589,10,2.0,0.1052641052631579,0.42
590,20,2.0,0.1052641052631579,0.48
591,20,2.0,0.1052641052631579,0.4
592,20,2.0,0.1052641052631579,0.52
593,20,2.0,0.1052641052631579,0.56
594,20,2.0,0.1052641052631579,0.48
595,20,2.0,0.1052641052631579,0.42
596,20,2.0,0.1052641052631579,0.46
597,20,2.0,0.1052641052631579,0.56
598,20,2.0,0.1052641052631579,0.52
599,20,2.0,0.1052641052631579,0.52
600,5,0.0,0.2105272105263158,0.52
601,5,0.0,0.2105272105263158,0.5
602,5,0.0,0.2105272105263158,0.48
